Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Camel,"Cracked Wall > Bishop Peak > San Luis Obispo > Central Coast > California",https://www.mountainproject.com/route/105737252/camel,3.3,-1,"Sport, TR",5.10b,1,50,35.30227,-120.69427
"Chihuahua Power","Lost Hawk > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738506/chihuahua-power,3.3,-1,Sport,5.9,1,100,32.3704,-110.70788
"The Viewing","Coffin Buttress > Little Cottonwood Canyon > Wasatch Range > Utah",https://www.mountainproject.com/route/105740639/the-viewing,3.3,-1,Sport,"5.10a R",1,100,40.5739,-111.771
Tarantella,"Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099156/tarantella,3.3,-1,Sport,5.10a,1,90,36.1022,-84.7184
Metamorphosis,"Armed and Dangerous Area (Main Cliff Left) > *Rumney > New Hampshire",https://www.mountainproject.com/route/105959363/metamorphosis,3.2,-1,Sport,5.8+,1,,43.80203,-71.83678
"Best Seat In The House","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106068973/best-seat-in-the-house,3.2,-1,Sport,5.9,1,85,36.0947,-84.7083
"Dancing Outlaw","The North Forty > Horseshoe Canyon Ranch > Arkansas",https://www.mountainproject.com/route/107326739/dancing-outlaw,3.3,-1,Sport,5.9+,1,70,36.00881,-93.29549
"Latch Key Kids","Whippoorwill > Summersville and Gauley River > The New River Gorge > West Virginia",https://www.mountainproject.com/route/107540073/latch-key-kids,3.3,-1,Sport,5.10a/b,1,70,38.2338,-80.8552
Cottonmouth,"Cotton Top > New River Gorge Proper > The New River Gorge > West Virginia",https://www.mountainproject.com/route/106886454/cottonmouth,3.3,-1,Sport,5.10a,1,60,38.11585,-81.14124
"Robotic Thumb","Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107892930/robotic-thumb,3.3,-1,Sport,5.10b,1,60,37.64919,-83.71343
"Upside The Cranium","The Monkey Skull > South Fork of St. Vrain Canyon > St. Vrain Canyons > Lyons > Colorado",https://www.mountainproject.com/route/105749647/upside-the-cranium,3.5,-1,Sport,5.10b/c,1,100,40.17899,-105.35041
